metaphor_category,sentence,metaphorical_subsets,model_output,L&J Metaphor(s) – Identified,L&J Metaphor(s) – Correct Basic Meanings,Additional Annotations,Additional Annotations – Metaphorical,Additional Annotations – Correct Basic Meanings
personification,His religion tells him that he cannot drink fine French wines.,['religion tells'],"- His: NO (possessive pronoun, basic meaning is the same)
- religion: NO (noun, basic meaning is the same)
- tells: NO (verb, basic meaning is the same)
- him: NO (pronoun, basic meaning is the same)
- that: NO (conjunction, basic meaning is the same)
- he: NO (pronoun, basic meaning is the same)
- cannot: NO (modal verb, basic meaning is the same)
- drink: YES (verb, more basic meaning refers to consuming a liquid)
- fine: YES (adjective, more basic meaning refers to the quality of being thin or delicate)
- French: NO (adjective, basic meaning is the same)
- wines: NO (noun, basic meaning is the same)",0,0,1,0.0,1.0
understanding-is-seeing,"Shallow arguments are practically worthless, since they don't show us very much.","['Shallow', 'show']","- Shallow: YES (adjective, more basic meaning refers to physical depth, like a shallow pool)
- arguments: NO (noun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- practically: YES (adverb, more basic meaning refers to practical, hands-on actions or methods)
- worthless: NO (adjective, basic meaning is the same)
- since: NO (conjunction, basic meaning is the same)
- they: NO (pronoun, basic meaning is the same)
- don't: NO (contraction of do not, basic meaning is the same)
- show: NO (verb, basic meaning is the same)
- us: NO (pronoun, basic meaning is the same)
- very: NO (adverb, basic meaning is the same)
- much: NO (adjective, basic meaning is the same)",0,0,1,0.0,1.0
birth metaphors,He conceived a brilliant theory of molecular motion.,['conceived'],"""He conceived a brilliant theory of molecular motion.""

- He: NO (pronoun, basic meaning is the same)
- conceived: YES (verb, more basic meaning refers to becoming pregnant)
- a: NO (indefinite article, basic meaning is the same)
- brilliant: NO (adjective, basic meaning refers to very bright or shining)
- theory: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- molecular: NO (adjective, basic meaning is the same)
- motion: NO (noun, basic meaning refers to the action or process of moving or being moved)",1,1,0,,
birth metaphors,Universities are incubators for new ideas.,['incubators'],"- Universities: NO (noun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- incubators: YES (noun, more basic meaning refers to an apparatus used to hatch eggs or grow microorganisms)
- for: NO (preposition, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)",1,1,0,,
the-place-for-the-institution,Hollywood isn't what it used to be.,['Hollywood'],"- Hollywood: NO (proper noun, basic meaning is the same)
- isn't: NO (contraction of ""is not"", basic meaning is the same)
- what: NO (pronoun, basic meaning is the same)
- it: NO (pronoun, basic meaning is the same)
- used: YES (verb, more basic meaning refers to employing something for a purpose)
- to: NO (preposition, basic meaning is the same)
- be: NO (verb, basic meaning is the same)",0,0,1,0.0,0.0
theories-(and-arguments)-are-buildings,They exploded his latest theory.,['exploded'],"- They: NO (pronoun, basic meaning is the same)
- exploded: YES (verb, more basic meaning refers to a sudden and violent expansion, typically used in the context of physical objects)
- his: NO (possessive pronoun, basic meaning is the same)
- latest: NO (adjective, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)",1,1,0,,
the-mind-is-an-object,You have to handle him with care since his wife's death.,['handle him with care'],"- You: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- handle: YES (verb, more basic meaning refers to touching, holding, or manipulating with the hands)
- him: NO (pronoun, basic meaning is the same)
- with: NO (preposition, basic meaning is the same)
- care: NO (noun, basic meaning is the same)
- since: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- wife's: NO (possessive noun, basic meaning is the same)
- death: NO (noun, basic meaning is the same)",1,1,0,,
producer-for-product,I hate to read Heidegger.,['Heidegger'],"- I: NO (pronoun, basic meaning is the same)
- hate: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- read: NO (verb, basic meaning is the same)
- Heidegger: NO (proper noun, basic meaning is the same)",0,0,0,,
the-mind-is-a-machine,We're still trying to grind out the solution to this equation.,['grind out'],"- We're: NO (contraction of ""we are"", basic meaning is the same)
- still: NO (adverb, basic meaning is the same)
- trying: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- grind: YES (verb, more basic meaning refers to breaking something down physically, e.g., grinding coffee beans)
- out: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- solution: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- this: NO (demonstrative pronoun, basic meaning is the same)
- equation: NO (noun, basic meaning is the same)",1,1,0,,
health-and-life-are-up;-sickness-and-death-are-down,He's in top shape.,['top'],"- He's: NO (contraction of he is, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- top: YES (noun, more basic meaning refers to the highest point or part of something)
- shape: YES (noun, more basic meaning refers to the external form or appearance of someone or something)",1,1,0,,
