sentence,metaphorical_subsets
Your claims are indefensible.,['indefensible']
He attacked every weak point in my argument.,['attacked every weak point']
His criticisms were right on target.,['right on target']
I demolished his argument.,['demolished']
I've never won an argument with him.,['won']
"If you use that strategy, he'll wipe you out.","['strategy', 'wipe you out']"
He shot down all of my arguments.,['shot down']
You're wasting my time.,['wasting']
This gadget will save you hours.,['save']
I don't have the time to give you.,"['have', 'give']"
How do you spend your time these days?,['spend']
That flat tire cost me an hour.,['cost']
I've invested a lot of time in her.,['invested']
I don't have enough time to spare for that.,"['have enough', 'spare']"
You're running out of time.,['running out']
You need to budget your time.,['budget']
Put aside some time for ping pong.,['Put aside']
Is that worth your while?,['worth your while']
Do you have much time left?,"['have', 'left']"
He's living on borrowed time.,['borrowed']
You don't use your time profitably.,"['use', 'profitably']"
I lost a lot of time when I got sick.,['lost']
It's hard to get that idea across to him.,"['get', 'across to']"
I gave you that idea.,['gave']
Your reasons came through to us.,['came through']
It's difficult to put my ideas into words.,"['put', 'into']"
"When you have a good idea, try to capture it immediately in words.","['have', 'capture', 'in']"
Try to pack more thought into the wrong words.,"['pack', 'into']"
His words carry little meaning.,['carry']
The introduction has a great deal of thought content.,"['has', 'content']"
Your words seem hollow.,['hollow']
The sentence is without meaning.,['without']
The idea is buried in terribly dense paragraphs.,['buried in']
I'm feeling up.,['up']
That boosted my spirits.,['boosted']
My spirits rose.,['rose']
You're in high spirits.,['high']
Thinking about her always gives me a lift.,['lift']
I'm feeling down.,['down']
I'm depressed.,['depressed']
He's really low these days.,['low']
I fell into a depression.,['fell']
My spirits sank.,['sank']
Wake up.,['up']
He fell asleep.,['fell']
He dropped off to sleep.,['dropped']
He's under hypnosis.,['under']
He sank into a coma.,['sank']
He's at the peak of health.,['peak']
Lazarus rose from the dead.,['rose']
He's in top shape.,['top']
"As to his health, he's way up there.",['up']
He fell ill.,['fell']
He came down with the flu.,['down']
His health is declining.,['declining']
He dropped dead.,['dropped']
I have control over her.,['over']
I am on top of the situation.,['on top']
He's in a superior position.,['superior']
He's at the height of his power.,['height']
He's in the high command.,['high']
He's in the upper echelon.,['upper']
His power rose.,['rose']
He ranks above me in strength.,['above']
He is under my control.,['under']
He fell from power.,['fell']
His power is on the decline.,['decline']
He is my social inferior.,['inferior']
The number of books printed each year keeps going up.,['up']
His draft number is high.,['high']
My income rose last year.,['rose']
The amount of artistic activity in this state has gone down in the past year.,['down']
The number of errors he made is incredibly low.,['low']
His income fell last year.,['fell']
He is underage.,['under']
"If you're too hot, turn the heat down.",['down']
All upcoming events are listed in the paper.,['up']
What's coming up this week?,['up']
What's up?,['up']
He has a lofty position.,['lofty']
She'll rise to the top.,"['rise', 'top']"
He's at the peak of his career.,['peak']
He has a little upward mobility.,['upward']
He's at the bottom of the social hierarchy.,['bottom']
She fell in status.,['fell']
Things are at an all-time low.,['low']
He does high-quality work.,['high']
He is high-minded.,['high']
She has high standards.,['high']
She is an upstanding citizen.,['upstanding']
That was a low trick.,['low']
Don't be underhanded.,['underhanded']
I wouldn't stoop to that.,['stoop']
That would be beneath me.,['beneath']
He fell into the abyss of depravity.,"['fell', 'abyss']"
