metaphor_category,sentence,metaphorical_subsets,model_output,L&J Metaphor(s) – Identified,L&J Metaphor(s) – Correct Basic Meanings,Additional Annotations,Additional Annotations – Metaphorical,Additional Annotations – Correct Basic Meanings
personification,His religion tells him that he cannot drink fine French wines.,['religion tells'],"- His: NO (possessive pronoun, basic meaning is the same)
- religion: NO (noun, basic meaning is the same)
- tells: YES (verb, more basic meaning refers to conveying information verbally)
- him: NO (pronoun, basic meaning is the same)
- that: NO (conjunction, basic meaning is the same)
- he: NO (pronoun, basic meaning is the same)
- cannot: NO (verb, basic meaning is the same)
- drink: YES (verb, more basic meaning refers to consuming liquids)
- fine: YES (adjective, more basic meaning refers to high quality)
- French: YES (adjective, more basic meaning refers to something from France)
- wines: YES (noun, more basic meaning refers to alcoholic beverages made from fermented grapes)",1,1,1,0.0,1.0
understanding-is-seeing,"Shallow arguments are practically worthless, since they don't show us very much.","['Shallow', 'show']","- Shallow: NO (adjective, basic meaning is the same)
- arguments: NO (noun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- practically: YES (adverb, more basic meaning refers to something being done in a practical manner)
- worthless: YES (adjective, more basic meaning refers to something having no value)
- since: NO (conjunction, basic meaning is the same)
- they: NO (pronoun, basic meaning is the same)
- don't: NO (contraction, basic meaning is the same)
- show: YES (verb, more basic meaning refers to displaying or presenting something)
- us: NO (pronoun, basic meaning is the same)
- very: YES (adverb, more basic meaning refers to something being of a high degree)",0,0,1,0.0,1.0
birth metaphors,He conceived a brilliant theory of molecular motion.,['conceived'],"- He: NO (pronoun, basic meaning is the same)
- conceived: YES (verb, more basic meaning refers to becoming pregnant)
- a: NO (article, basic meaning is the same)
- brilliant: NO (adjective, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- molecular: NO (adjective, basic meaning is the same)
- motion: NO (noun, basic meaning is the same)",1,1,0,,
birth metaphors,Universities are incubators for new ideas.,['incubators'],"- Universities: NO (noun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- incubators: YES (noun, more basic meaning refers to a device for maintaining the optimal conditions for growth and development, like for premature babies or cultures in a lab)
- for: NO (preposition, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)",1,1,0,,
the-place-for-the-institution,Hollywood isn't what it used to be.,['Hollywood'],"- Hollywood: NO (noun, basic meaning is the same)
- isn't: NO (verb, basic meaning is the same)
- what: NO (pronoun, basic meaning is the same)
- it: NO (pronoun, basic meaning is the same)
- used: YES (verb, more basic meaning refers to employing something)
- to: NO (preposition, basic meaning is the same)
- be: NO (verb, basic meaning is the same)",0,0,1,0.0,0.0
theories-(and-arguments)-are-buildings,They exploded his latest theory.,['exploded'],"- They: NO (pronoun, basic meaning is the same)
- exploded: YES (verb, more basic meaning refers to bursting or blowing up)
- his: NO (possessive pronoun, basic meaning is the same)
- latest: NO (adjective, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)",1,1,0,,
the-mind-is-an-object,You have to handle him with care since his wife's death.,['handle him with care'],"- You: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- handle: YES (verb, more basic meaning refers to physically touching or manipulating something)
- him: NO (pronoun, basic meaning is the same)
- with: NO (preposition, basic meaning is the same)
- care: YES (noun, more basic meaning refers to worry or attention given to something)
- since: NO (conjunction, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- wife's: NO (noun, basic meaning is the same)
- death: NO (noun, basic meaning is the same)",1,1,1,0.0,1.0
producer-for-product,I hate to read Heidegger.,['Heidegger'],"- I: NO
- hate: NO
- to: NO
- read: YES (verb, more basic meaning refers to interpreting written or printed material)
- Heidegger: NO",0,0,1,0.0,1.0
the-mind-is-a-machine,We're still trying to grind out the solution to this equation.,['grind out'],"- We're: NO (contraction, basic meaning is the same)
- still: NO (adverb, basic meaning is the same)
- trying: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- grind: YES (verb, more basic meaning refers to crushing or pulverizing something)
- out: NO (adverb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- solution: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- this: NO (demonstrative pronoun, basic meaning is the same)
- equation: NO (noun, basic meaning is the same)",1,1,0,,
health-and-life-are-up;-sickness-and-death-are-down,He's in top shape.,['top'],"- He's: NO (pronoun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- top: YES (adjective, more basic meaning refers to the highest part or point)
- shape: YES (noun, more basic meaning refers to the form or outline of an object)",1,1,1,1.0,1.0
